Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=0.6836  train_acc=0.9494  val_acc=0.9417
Epoch 2/10  loss=0.1968  train_acc=0.9642  val_acc=0.9553
Epoch 3/10  loss=0.1450  train_acc=0.9689  val_acc=0.9590
Epoch 4/10  loss=0.1244  train_acc=0.9761  val_acc=0.9657
Epoch 5/10  loss=0.1169  train_acc=0.9675  val_acc=0.9543
Epoch 6/10  loss=0.1032  train_acc=0.9836  val_acc=0.9685
Epoch 7/10  loss=0.0925  train_acc=0.9721  val_acc=0.9582
Epoch 8/10  loss=0.0902  train_acc=0.9794  val_acc=0.9613
Epoch 9/10  loss=0.0843  train_acc=0.9791  val_acc=0.9628
Epoch 10/10  loss=0.0819  train_acc=0.9885  val_acc=0.9722

Test Accuracy : 0.9724
Test F1 Score : 0.9722
