Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=0.4087  train_acc=0.9188  val_acc=0.9215
Epoch 2/10  loss=0.2486  train_acc=0.9402  val_acc=0.9302
Epoch 3/10  loss=0.2334  train_acc=0.9315  val_acc=0.9267
Epoch 4/10  loss=0.2355  train_acc=0.9531  val_acc=0.9463
Epoch 5/10  loss=0.2135  train_acc=0.9590  val_acc=0.9477
Epoch 6/10  loss=0.2428  train_acc=0.9531  val_acc=0.9463
Epoch 7/10  loss=0.2505  train_acc=0.9306  val_acc=0.9203
Epoch 8/10  loss=0.2668  train_acc=0.9414  val_acc=0.9343
Epoch 9/10  loss=0.2697  train_acc=0.9253  val_acc=0.9210
Epoch 10/10  loss=0.2837  train_acc=0.9574  val_acc=0.9495

Test Accuracy : 0.9509
Test F1 Score : 0.9511
