Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=0.8982  train_acc=0.1500  val_acc=0.1477
Epoch 2/10  loss=0.8843  train_acc=0.2906  val_acc=0.2825
Epoch 3/10  loss=0.8663  train_acc=0.4242  val_acc=0.4170
Epoch 4/10  loss=0.8370  train_acc=0.5172  val_acc=0.5087
Epoch 5/10  loss=0.7817  train_acc=0.5853  val_acc=0.5793
Epoch 6/10  loss=0.6812  train_acc=0.6598  val_acc=0.6535
Epoch 7/10  loss=0.5510  train_acc=0.7188  val_acc=0.7093
Epoch 8/10  loss=0.4421  train_acc=0.7610  val_acc=0.7520
Epoch 9/10  loss=0.3676  train_acc=0.8059  val_acc=0.8005
Epoch 10/10  loss=0.3132  train_acc=0.8345  val_acc=0.8315

Test Accuracy : 0.8433
Test F1 Score : 0.8369
