Loaded fashion_mnist: train=54000  val=6000  test=10000
Epoch 1/15  loss=0.6702  train_acc=0.7987  val_acc=0.7937
Epoch 2/15  loss=0.4907  train_acc=0.8383  val_acc=0.8335
Epoch 3/15  loss=0.4683  train_acc=0.8405  val_acc=0.8283
Epoch 4/15  loss=0.4588  train_acc=0.8371  val_acc=0.8320
Epoch 5/15  loss=0.4454  train_acc=0.8265  val_acc=0.8215
Epoch 6/15  loss=0.4525  train_acc=0.8028  val_acc=0.7992
Epoch 7/15  loss=0.4500  train_acc=0.7735  val_acc=0.7558
Epoch 8/15  loss=0.4537  train_acc=0.8659  val_acc=0.8512
Epoch 9/15  loss=0.4551  train_acc=0.8714  val_acc=0.8587
Epoch 10/15  loss=0.4470  train_acc=0.7969  val_acc=0.7878
Epoch 11/15  loss=0.4525  train_acc=0.8317  val_acc=0.8322
Epoch 12/15  loss=0.4510  train_acc=0.8472  val_acc=0.8335
Epoch 13/15  loss=0.4473  train_acc=0.7976  val_acc=0.7870
Epoch 14/15  loss=0.4682  train_acc=0.8399  val_acc=0.8248
Epoch 15/15  loss=0.4845  train_acc=0.7712  val_acc=0.7657

Test Accuracy : 0.8505
Test F1 Score : 0.8520
