Loaded fashion_mnist: train=54000  val=6000  test=10000
Epoch 1/15  loss=1.4584  train_acc=0.7006  val_acc=0.7118
Epoch 2/15  loss=0.8929  train_acc=0.7398  val_acc=0.7468
Epoch 3/15  loss=0.7495  train_acc=0.7613  val_acc=0.7700
Epoch 4/15  loss=0.6774  train_acc=0.7767  val_acc=0.7857
Epoch 5/15  loss=0.6311  train_acc=0.7915  val_acc=0.7978
Epoch 6/15  loss=0.5977  train_acc=0.8000  val_acc=0.8058
Epoch 7/15  loss=0.5720  train_acc=0.8067  val_acc=0.8137
Epoch 8/15  loss=0.5513  train_acc=0.8131  val_acc=0.8197
Epoch 9/15  loss=0.5348  train_acc=0.8180  val_acc=0.8222
Epoch 10/15  loss=0.5208  train_acc=0.8222  val_acc=0.8275
Epoch 11/15  loss=0.5091  train_acc=0.8251  val_acc=0.8308
Epoch 12/15  loss=0.4991  train_acc=0.8273  val_acc=0.8307
Epoch 13/15  loss=0.4902  train_acc=0.8301  val_acc=0.8332
Epoch 14/15  loss=0.4822  train_acc=0.8319  val_acc=0.8353
Epoch 15/15  loss=0.4753  train_acc=0.8336  val_acc=0.8360

Test Accuracy : 0.8242
Test F1 Score : 0.8224
