Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3026  train_acc=0.1125  val_acc=0.1112
Epoch 2/10  loss=2.3025  train_acc=0.1125  val_acc=0.1112
Epoch 3/10  loss=2.3025  train_acc=0.1125  val_acc=0.1112
Epoch 4/10  loss=2.3025  train_acc=0.1125  val_acc=0.1112
Epoch 5/10  loss=2.3024  train_acc=0.1125  val_acc=0.1112
Epoch 6/10  loss=2.3024  train_acc=0.1125  val_acc=0.1112
Epoch 7/10  loss=2.3024  train_acc=0.1125  val_acc=0.1112
Epoch 8/10  loss=2.3023  train_acc=0.1125  val_acc=0.1112
Epoch 9/10  loss=2.3023  train_acc=0.1125  val_acc=0.1112
Epoch 10/10  loss=2.3023  train_acc=0.1125  val_acc=0.1112

Test Accuracy : 0.1135
Test F1 Score : 0.0204
