Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3032  train_acc=0.0985  val_acc=0.0995
Epoch 2/10  loss=2.3030  train_acc=0.1053  val_acc=0.0965
Epoch 3/10  loss=2.3029  train_acc=0.1124  val_acc=0.1125
Epoch 4/10  loss=2.3026  train_acc=0.1124  val_acc=0.1125
Epoch 5/10  loss=2.3026  train_acc=0.1053  val_acc=0.0965
Epoch 6/10  loss=2.3023  train_acc=0.1124  val_acc=0.1125
Epoch 7/10  loss=2.3023  train_acc=0.0986  val_acc=0.1042
Epoch 8/10  loss=2.3018  train_acc=0.1124  val_acc=0.1125
Epoch 9/10  loss=2.3021  train_acc=0.1124  val_acc=0.1125
Epoch 10/10  loss=2.3018  train_acc=0.1124  val_acc=0.1125

Test Accuracy : 0.1135
Test F1 Score : 0.0204
