Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3157  train_acc=0.1026  val_acc=0.0980
Epoch 2/10  loss=2.3074  train_acc=0.1128  val_acc=0.1085
Epoch 3/10  loss=2.3082  train_acc=0.0986  val_acc=0.0988
Epoch 4/10  loss=2.3080  train_acc=0.0977  val_acc=0.0943
Epoch 5/10  loss=2.3079  train_acc=0.0970  val_acc=0.1018
Epoch 6/10  loss=2.3080  train_acc=0.1128  val_acc=0.1085
Epoch 7/10  loss=2.3073  train_acc=0.1043  val_acc=0.1057
Epoch 8/10  loss=2.3081  train_acc=0.1043  val_acc=0.1057
Epoch 9/10  loss=2.3078  train_acc=0.0988  val_acc=0.1022
Epoch 10/10  loss=2.3077  train_acc=0.1026  val_acc=0.0980

Test Accuracy : 0.1135
Test F1 Score : 0.0204
