Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=0.6227  train_acc=0.9179  val_acc=0.9145
Epoch 2/10  loss=0.2173  train_acc=0.9413  val_acc=0.9375
Epoch 3/10  loss=0.1551  train_acc=0.9565  val_acc=0.9547
Epoch 4/10  loss=0.1260  train_acc=0.9755  val_acc=0.9695
Epoch 5/10  loss=0.1045  train_acc=0.9725  val_acc=0.9625
Epoch 6/10  loss=0.0913  train_acc=0.9792  val_acc=0.9703
Epoch 7/10  loss=0.0811  train_acc=0.9742  val_acc=0.9622
Epoch 8/10  loss=0.0715  train_acc=0.9799  val_acc=0.9672
Epoch 9/10  loss=0.0665  train_acc=0.9847  val_acc=0.9710
Epoch 10/10  loss=0.0639  train_acc=0.9866  val_acc=0.9720

Test Accuracy : 0.9710
Test F1 Score : 0.9708
