Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=1.9037  train_acc=0.4232  val_acc=0.4207
Epoch 2/10  loss=1.0655  train_acc=0.8097  val_acc=0.8100
Epoch 3/10  loss=0.5327  train_acc=0.8891  val_acc=0.8837
Epoch 4/10  loss=0.3689  train_acc=0.9186  val_acc=0.9092
Epoch 5/10  loss=0.2712  train_acc=0.9361  val_acc=0.9310
Epoch 6/10  loss=0.2124  train_acc=0.9461  val_acc=0.9348
Epoch 7/10  loss=0.1730  train_acc=0.9554  val_acc=0.9428
Epoch 8/10  loss=0.1439  train_acc=0.9631  val_acc=0.9515
Epoch 9/10  loss=0.1232  train_acc=0.9685  val_acc=0.9545
Epoch 10/10  loss=0.1073  train_acc=0.9725  val_acc=0.9610

Test Accuracy : 0.9618
Test F1 Score : 0.9615
