Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3038  train_acc=0.0986  val_acc=0.1043
Epoch 2/10  loss=2.3035  train_acc=0.0986  val_acc=0.1043
Epoch 3/10  loss=2.3033  train_acc=0.0986  val_acc=0.1043
Epoch 4/10  loss=2.3031  train_acc=0.0986  val_acc=0.1043
Epoch 5/10  loss=2.3029  train_acc=0.0986  val_acc=0.1043
Epoch 6/10  loss=2.3027  train_acc=0.0986  val_acc=0.1043
Epoch 7/10  loss=2.3025  train_acc=0.1022  val_acc=0.1018
Epoch 8/10  loss=2.3024  train_acc=0.1022  val_acc=0.1018
Epoch 9/10  loss=2.3023  train_acc=0.1022  val_acc=0.1018
Epoch 10/10  loss=2.3022  train_acc=0.1022  val_acc=0.1018

Test Accuracy : 0.1009
Test F1 Score : 0.0183
