Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=5.0945  train_acc=0.0966  val_acc=0.1042
Epoch 2/10  loss=4.8680  train_acc=0.1119  val_acc=0.1078
Epoch 3/10  loss=4.8039  train_acc=0.0893  val_acc=0.0938
Epoch 4/10  loss=4.8134  train_acc=0.0966  val_acc=0.1042
Epoch 5/10  loss=4.8039  train_acc=0.0966  val_acc=0.1042
Epoch 6/10  loss=4.7661  train_acc=0.1738  val_acc=0.1688
Epoch 7/10  loss=4.8246  train_acc=0.1691  val_acc=0.1643
Epoch 8/10  loss=4.7697  train_acc=0.0929  val_acc=0.0978
Epoch 9/10  loss=4.7317  train_acc=0.0976  val_acc=0.0965
Epoch 10/10  loss=4.7790  train_acc=0.1079  val_acc=0.1117

Test Accuracy : 0.1721
Test F1 Score : 0.0601
