Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.4392  train_acc=0.1120  val_acc=0.1158
Epoch 2/10  loss=2.4096  train_acc=0.1120  val_acc=0.1158
Epoch 3/10  loss=2.3873  train_acc=0.1120  val_acc=0.1158
Epoch 4/10  loss=2.3700  train_acc=0.1120  val_acc=0.1158
Epoch 5/10  loss=2.3566  train_acc=0.1120  val_acc=0.1158
Epoch 6/10  loss=2.3461  train_acc=0.1120  val_acc=0.1158
Epoch 7/10  loss=2.3376  train_acc=0.1120  val_acc=0.1158
Epoch 8/10  loss=2.3309  train_acc=0.1120  val_acc=0.1158
Epoch 9/10  loss=2.3255  train_acc=0.1120  val_acc=0.1158
Epoch 10/10  loss=2.3211  train_acc=0.1120  val_acc=0.1158

Test Accuracy : 0.1135
Test F1 Score : 0.0204
