Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.5424  train_acc=0.1039  val_acc=0.1092
Epoch 2/10  loss=2.5388  train_acc=0.1039  val_acc=0.1092
Epoch 3/10  loss=2.5353  train_acc=0.1039  val_acc=0.1092
Epoch 4/10  loss=2.5319  train_acc=0.1039  val_acc=0.1092
Epoch 5/10  loss=2.5286  train_acc=0.1039  val_acc=0.1092
Epoch 6/10  loss=2.5252  train_acc=0.1039  val_acc=0.1092
Epoch 7/10  loss=2.5219  train_acc=0.1039  val_acc=0.1092
Epoch 8/10  loss=2.5187  train_acc=0.1039  val_acc=0.1092
Epoch 9/10  loss=2.5156  train_acc=0.1039  val_acc=0.1092
Epoch 10/10  loss=2.5125  train_acc=0.1039  val_acc=0.1092

Test Accuracy : 0.1028
Test F1 Score : 0.0186
