Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3146  train_acc=0.1128  val_acc=0.1087
Epoch 2/10  loss=2.3077  train_acc=0.1128  val_acc=0.1087
Epoch 3/10  loss=2.3074  train_acc=0.1045  val_acc=0.1033
Epoch 4/10  loss=2.3076  train_acc=0.1128  val_acc=0.1087
Epoch 5/10  loss=2.3077  train_acc=0.1045  val_acc=0.1033
Epoch 6/10  loss=2.3076  train_acc=0.0999  val_acc=0.0943
Epoch 7/10  loss=2.3077  train_acc=0.1128  val_acc=0.1087
Epoch 8/10  loss=2.3070  train_acc=0.1045  val_acc=0.1033
Epoch 9/10  loss=2.3077  train_acc=0.1020  val_acc=0.1037
Epoch 10/10  loss=2.3076  train_acc=0.0983  val_acc=0.1022

Test Accuracy : 0.1135
Test F1 Score : 0.0204
