Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3334  train_acc=0.0992  val_acc=0.0937
Epoch 2/10  loss=2.3058  train_acc=0.0994  val_acc=0.0985
Epoch 3/10  loss=2.3061  train_acc=0.1045  val_acc=0.1037
Epoch 4/10  loss=2.3063  train_acc=0.1128  val_acc=0.1088
Epoch 5/10  loss=2.3060  train_acc=0.1128  val_acc=0.1088
Epoch 6/10  loss=2.3059  train_acc=0.1128  val_acc=0.1088
Epoch 7/10  loss=2.3058  train_acc=0.1128  val_acc=0.1088
Epoch 8/10  loss=2.3060  train_acc=0.1023  val_acc=0.1015
Epoch 9/10  loss=2.3062  train_acc=0.1128  val_acc=0.1088
Epoch 10/10  loss=2.3058  train_acc=0.0991  val_acc=0.0998

Test Accuracy : 0.1135
Test F1 Score : 0.0204
