Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3045  train_acc=0.1124  val_acc=0.1120
Epoch 2/10  loss=2.3051  train_acc=0.1047  val_acc=0.1018
Epoch 3/10  loss=2.3042  train_acc=0.1047  val_acc=0.1018
Epoch 4/10  loss=2.3045  train_acc=0.0986  val_acc=0.0993
Epoch 5/10  loss=2.3048  train_acc=0.0995  val_acc=0.0962
Epoch 6/10  loss=2.3047  train_acc=0.1017  val_acc=0.1062
Epoch 7/10  loss=2.3047  train_acc=0.1124  val_acc=0.1120
Epoch 8/10  loss=2.3047  train_acc=0.1017  val_acc=0.1062
Epoch 9/10  loss=2.3045  train_acc=0.0986  val_acc=0.0993
Epoch 10/10  loss=2.3045  train_acc=0.1017  val_acc=0.1062

Test Accuracy : 0.1135
Test F1 Score : 0.0204
