Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.4111  train_acc=0.1020  val_acc=0.1035
Epoch 2/10  loss=2.3059  train_acc=0.1117  val_acc=0.1180
Epoch 3/10  loss=2.3059  train_acc=0.1042  val_acc=0.1065
Epoch 4/10  loss=2.3055  train_acc=0.1117  val_acc=0.1180
Epoch 5/10  loss=2.3059  train_acc=0.1117  val_acc=0.1180
Epoch 6/10  loss=2.3060  train_acc=0.0994  val_acc=0.0985
Epoch 7/10  loss=2.3059  train_acc=0.1117  val_acc=0.1180
Epoch 8/10  loss=2.3061  train_acc=0.1117  val_acc=0.1180
Epoch 9/10  loss=2.3060  train_acc=0.1117  val_acc=0.1180
Epoch 10/10  loss=2.3060  train_acc=0.1020  val_acc=0.1035

Test Accuracy : 0.1135
Test F1 Score : 0.0204
