Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=0.3881  train_acc=0.9466  val_acc=0.9420
Epoch 2/10  loss=0.1304  train_acc=0.9746  val_acc=0.9680
Epoch 3/10  loss=0.0981  train_acc=0.9749  val_acc=0.9667
Epoch 4/10  loss=0.0804  train_acc=0.9811  val_acc=0.9707
Epoch 5/10  loss=0.0690  train_acc=0.9831  val_acc=0.9698
Epoch 6/10  loss=0.0595  train_acc=0.9887  val_acc=0.9757
Epoch 7/10  loss=0.0537  train_acc=0.9833  val_acc=0.9702
Epoch 8/10  loss=0.0462  train_acc=0.9906  val_acc=0.9770
Epoch 9/10  loss=0.0395  train_acc=0.9904  val_acc=0.9720
Epoch 10/10  loss=0.0387  train_acc=0.9936  val_acc=0.9763

Test Accuracy : 0.9745
Test F1 Score : 0.9742
