Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3850  train_acc=0.0987  val_acc=0.0990
Epoch 2/10  loss=2.3060  train_acc=0.1046  val_acc=0.1030
Epoch 3/10  loss=2.3060  train_acc=0.0993  val_acc=0.0995
Epoch 4/10  loss=2.3056  train_acc=0.0971  val_acc=0.1000
Epoch 5/10  loss=2.3058  train_acc=0.0971  val_acc=0.1000
Epoch 6/10  loss=2.3055  train_acc=0.1046  val_acc=0.1030
Epoch 7/10  loss=2.3064  train_acc=0.0991  val_acc=0.0997
Epoch 8/10  loss=2.3061  train_acc=0.0971  val_acc=0.1000
Epoch 9/10  loss=2.3059  train_acc=0.0996  val_acc=0.0903
Epoch 10/10  loss=2.3060  train_acc=0.1025  val_acc=0.0993

Test Accuracy : 0.1028
Test F1 Score : 0.0186
