Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3018  train_acc=0.1116  val_acc=0.1195
Epoch 2/10  loss=2.3010  train_acc=0.1116  val_acc=0.1195
Epoch 3/10  loss=2.3007  train_acc=0.1116  val_acc=0.1195
Epoch 4/10  loss=2.3006  train_acc=0.1116  val_acc=0.1195
Epoch 5/10  loss=2.3005  train_acc=0.1116  val_acc=0.1195
Epoch 6/10  loss=2.3003  train_acc=0.1116  val_acc=0.1195
Epoch 7/10  loss=2.3000  train_acc=0.1116  val_acc=0.1195
Epoch 8/10  loss=2.2991  train_acc=0.1116  val_acc=0.1195
Epoch 9/10  loss=2.2961  train_acc=0.1728  val_acc=0.1783
Epoch 10/10  loss=2.2656  train_acc=0.2077  val_acc=0.2150

Test Accuracy : 0.2093
Test F1 Score : 0.0847
