Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3799  train_acc=0.1122  val_acc=0.1138
Epoch 2/10  loss=2.3075  train_acc=0.0988  val_acc=0.0972
Epoch 3/10  loss=2.3080  train_acc=0.1122  val_acc=0.1138
Epoch 4/10  loss=2.3075  train_acc=0.1122  val_acc=0.1138
Epoch 5/10  loss=2.3080  train_acc=0.1122  val_acc=0.1138
Epoch 6/10  loss=2.3076  train_acc=0.0972  val_acc=0.0985
Epoch 7/10  loss=2.3077  train_acc=0.1045  val_acc=0.1035
Epoch 8/10  loss=2.3075  train_acc=0.1122  val_acc=0.1138
Epoch 9/10  loss=2.3077  train_acc=0.0972  val_acc=0.0985
Epoch 10/10  loss=2.3079  train_acc=0.1122  val_acc=0.1138

Test Accuracy : 0.1135
Test F1 Score : 0.0204
