Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=1.3915  train_acc=0.8213  val_acc=0.8240
Epoch 2/10  loss=0.5255  train_acc=0.8833  val_acc=0.8862
Epoch 3/10  loss=0.4131  train_acc=0.8977  val_acc=0.8960
Epoch 4/10  loss=0.3758  train_acc=0.9051  val_acc=0.9032
Epoch 5/10  loss=0.3579  train_acc=0.9094  val_acc=0.9085
Epoch 6/10  loss=0.3461  train_acc=0.9116  val_acc=0.9107
Epoch 7/10  loss=0.3382  train_acc=0.9133  val_acc=0.9123
Epoch 8/10  loss=0.3323  train_acc=0.9149  val_acc=0.9142
Epoch 9/10  loss=0.3266  train_acc=0.9172  val_acc=0.9173
Epoch 10/10  loss=0.3227  train_acc=0.9179  val_acc=0.9158

Test Accuracy : 0.9182
Test F1 Score : 0.9169
