Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=0.6621  train_acc=0.6944  val_acc=0.6830
Epoch 2/10  loss=0.5219  train_acc=0.7994  val_acc=0.8048
Epoch 3/10  loss=0.5090  train_acc=0.8408  val_acc=0.8388
Epoch 4/10  loss=0.5007  train_acc=0.7222  val_acc=0.7212
Epoch 5/10  loss=0.4971  train_acc=0.8312  val_acc=0.8285
Epoch 6/10  loss=0.4949  train_acc=0.7154  val_acc=0.7148
Epoch 7/10  loss=0.4880  train_acc=0.8283  val_acc=0.8212
Epoch 8/10  loss=0.4879  train_acc=0.6831  val_acc=0.6747
Epoch 9/10  loss=0.4889  train_acc=0.7916  val_acc=0.7912
Epoch 10/10  loss=0.4869  train_acc=0.7644  val_acc=0.7575

Test Accuracy : 0.8454
Test F1 Score : 0.8439
