Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3708  train_acc=0.0997  val_acc=0.0943
Epoch 2/10  loss=2.3062  train_acc=0.0997  val_acc=0.0943
Epoch 3/10  loss=2.3062  train_acc=0.0971  val_acc=0.1000
Epoch 4/10  loss=2.3062  train_acc=0.0995  val_acc=0.0978
Epoch 5/10  loss=2.3065  train_acc=0.1119  val_acc=0.1167
Epoch 6/10  loss=2.3057  train_acc=0.0971  val_acc=0.1000
Epoch 7/10  loss=2.3059  train_acc=0.1119  val_acc=0.1167
Epoch 8/10  loss=2.3058  train_acc=0.1119  val_acc=0.1167
Epoch 9/10  loss=2.3059  train_acc=0.1119  val_acc=0.1167
Epoch 10/10  loss=2.3061  train_acc=0.0995  val_acc=0.0978

Test Accuracy : 0.1135
Test F1 Score : 0.0204
