Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3346  train_acc=0.0972  val_acc=0.0988
Epoch 2/10  loss=2.3061  train_acc=0.1124  val_acc=0.1120
Epoch 3/10  loss=2.3057  train_acc=0.0972  val_acc=0.0988
Epoch 4/10  loss=2.3061  train_acc=0.1124  val_acc=0.1120
Epoch 5/10  loss=2.3055  train_acc=0.1046  val_acc=0.1032
Epoch 6/10  loss=2.3063  train_acc=0.1124  val_acc=0.1120
Epoch 7/10  loss=2.3061  train_acc=0.1046  val_acc=0.1032
Epoch 8/10  loss=2.3064  train_acc=0.0973  val_acc=0.0998
Epoch 9/10  loss=2.3060  train_acc=0.1046  val_acc=0.1032
Epoch 10/10  loss=2.3058  train_acc=0.0984  val_acc=0.1005

Test Accuracy : 0.1135
Test F1 Score : 0.0204
