Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.3899  train_acc=0.1123  val_acc=0.1128
Epoch 2/10  loss=2.3043  train_acc=0.0988  val_acc=0.0973
Epoch 3/10  loss=2.3046  train_acc=0.1029  val_acc=0.0962
Epoch 4/10  loss=2.3042  train_acc=0.1123  val_acc=0.1128
Epoch 5/10  loss=2.3046  train_acc=0.0993  val_acc=0.0995
Epoch 6/10  loss=2.3048  train_acc=0.1123  val_acc=0.1128
Epoch 7/10  loss=2.3046  train_acc=0.1123  val_acc=0.1128
Epoch 8/10  loss=2.3043  train_acc=0.1029  val_acc=0.0962
Epoch 9/10  loss=2.3045  train_acc=0.0988  val_acc=0.0973
Epoch 10/10  loss=2.3047  train_acc=0.1123  val_acc=0.1128

Test Accuracy : 0.1135
Test F1 Score : 0.0204
