Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=1.0201  train_acc=0.7028  val_acc=0.7040
Epoch 2/10  loss=0.7157  train_acc=0.8277  val_acc=0.8243
Epoch 3/10  loss=0.6753  train_acc=0.7169  val_acc=0.7235
Epoch 4/10  loss=0.6630  train_acc=0.7405  val_acc=0.7418
Epoch 5/10  loss=0.6529  train_acc=0.7336  val_acc=0.7398
Epoch 6/10  loss=0.6401  train_acc=0.7448  val_acc=0.7538
Epoch 7/10  loss=0.6392  train_acc=0.7574  val_acc=0.7533
Epoch 8/10  loss=0.6360  train_acc=0.7523  val_acc=0.7552
Epoch 9/10  loss=0.6333  train_acc=0.6948  val_acc=0.6927
Epoch 10/10  loss=0.6362  train_acc=0.6595  val_acc=0.6667

Test Accuracy : 0.8326
Test F1 Score : 0.8295
