Loaded mnist: train=54000  val=6000  test=10000
Epoch 1/10  loss=2.0076  train_acc=0.2023  val_acc=0.2070
Epoch 2/10  loss=1.6565  train_acc=0.1344  val_acc=0.1417
Epoch 3/10  loss=1.6361  train_acc=0.4003  val_acc=0.4033
Epoch 4/10  loss=1.6396  train_acc=0.3927  val_acc=0.4082
Epoch 5/10  loss=1.6368  train_acc=0.2174  val_acc=0.2168
Epoch 6/10  loss=1.6412  train_acc=0.2143  val_acc=0.2235
Epoch 7/10  loss=1.6300  train_acc=0.1996  val_acc=0.1947
Epoch 8/10  loss=1.6347  train_acc=0.2593  val_acc=0.2673
Epoch 9/10  loss=1.6325  train_acc=0.2183  val_acc=0.2165
Epoch 10/10  loss=1.6326  train_acc=0.3455  val_acc=0.3428

Test Accuracy : 0.3904
Test F1 Score : 0.2758
